Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20240408114857,2,1276.37,5430,exec20240408114857,
AAPL,algo20240408114857,2,1276.37,5430,exec20240408114858,
MSFT,algo20240408114900,1,59.89,7486,exec20240408114900,
PEP,algo20240408114910,2,36.21,4595,exec20240408114910,
PEP,algo20240408114910,2,36.21,4595,exec20240408114911,
NFLX,algo20240408114914,1,306.71,78,exec20240408114914,
CSCO,algo20240408114917,2,233.73,4976,exec20240408114917,
AMGN,algo20240408114920,2,116.62,7855,exec20240408114920,
AMGN,algo20240408114920,2,116.62,7855,exec20240408114921,
AMGN,algo20240408114920,2,116.62,7855,exec20240408114922,
GILD,algo20240408114931,1,82.91,6355,exec20240408114931,
TMUS,algo20240408114937,1,90.74,9572,exec20240408114937,
TMUS,algo20240408114937,1,90.74,9572,exec20240408114938,
BAC,algo20240408114941,1,22.03,7903,exec20240408114941,
EGHT,algo20240408114950,2,17.03,11091,exec20240408114950,
AHC,algo20240408114952,1,1.40,7396,exec20240408114952,
AHC,algo20240408114952,1,1.40,7396,exec20240408114953,
AOS,algo20240408114956,2,40.38,2542,exec20240408114956,
AOS,algo20240408114956,2,40.38,2542,exec20240408114957,
AOS,algo20240408114956,2,40.38,2542,exec20240408114958,
ATEN,algo20240408115000,2,6.45,3905,exec20240408115000,
AAN,algo20240408115006,1,25.68,923,exec20240408115006,
ANF,algo20240408115013,2,9.10,10785,exec20240408115013,
,algo20240408115019,2,,406,exec20240408115019,
,algo20240408115019,2,,406,exec20240408115020,
